"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Nov 13 05:37:35 GMT 2022","Sun Nov 13 05:37:36 GMT 2022","1114","test_function.test_filters","test_4_filters_brand","","","","Brand",""
"broken","Sun Nov 13 05:37:37 GMT 2022","Sun Nov 13 05:37:38 GMT 2022","1095","test_function.test_filters","test_4_filters_brand","","","","Brand",""
"broken","Sun Nov 13 05:37:05 GMT 2022","Sun Nov 13 05:37:05 GMT 2022","0","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Sun Nov 13 05:37:32 GMT 2022","Sun Nov 13 05:37:34 GMT 2022","1175","test_function.test_filters","test_3_filters_image","","","","Image",""
"broken","Sun Nov 13 05:37:05 GMT 2022","Sun Nov 13 05:37:05 GMT 2022","0","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Sun Nov 13 05:37:36 GMT 2022","Sun Nov 13 05:37:37 GMT 2022","1129","test_function.test_filters","test_4_filters_brand","","","","Brand",""
"broken","Sun Nov 13 05:37:11 GMT 2022","Sun Nov 13 05:37:12 GMT 2022","1105","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Sun Nov 13 05:37:30 GMT 2022","Sun Nov 13 05:37:31 GMT 2022","1116","test_function.test_filters","test_3_filters_image","","","","Image",""
"broken","Sun Nov 13 05:37:22 GMT 2022","Sun Nov 13 05:37:23 GMT 2022","1109","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Sun Nov 13 05:37:24 GMT 2022","Sun Nov 13 05:37:25 GMT 2022","1108","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Sun Nov 13 05:37:05 GMT 2022","Sun Nov 13 05:37:06 GMT 2022","1137","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Sun Nov 13 05:37:05 GMT 2022","Sun Nov 13 05:37:05 GMT 2022","0","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Sun Nov 13 05:37:29 GMT 2022","Sun Nov 13 05:37:30 GMT 2022","1132","test_function.test_filters","test_3_filters_image","","","","Images",""
"broken","Sun Nov 13 05:37:21 GMT 2022","Sun Nov 13 05:37:22 GMT 2022","1117","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Sun Nov 13 05:37:14 GMT 2022","Sun Nov 13 05:37:15 GMT 2022","1142","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Sun Nov 13 05:37:10 GMT 2022","Sun Nov 13 05:37:11 GMT 2022","1111","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Sun Nov 13 05:37:09 GMT 2022","Sun Nov 13 05:37:10 GMT 2022","1160","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Sun Nov 13 05:37:18 GMT 2022","Sun Nov 13 05:37:19 GMT 2022","1109","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Sun Nov 13 05:37:15 GMT 2022","Sun Nov 13 05:37:16 GMT 2022","1112","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Sun Nov 13 05:37:39 GMT 2022","Sun Nov 13 05:37:40 GMT 2022","1114","test_function.test_filters","test_5_filters_category","","","","Brand",""
"broken","Sun Nov 13 05:37:31 GMT 2022","Sun Nov 13 05:37:32 GMT 2022","1120","test_function.test_filters","test_3_filters_image","","","","Image",""
"broken","Sun Nov 13 05:37:28 GMT 2022","Sun Nov 13 05:37:29 GMT 2022","1142","test_function.test_filters","test_3_filters_image","","","","Images",""
"broken","Sun Nov 13 05:37:25 GMT 2022","Sun Nov 13 05:37:27 GMT 2022","1170","test_function.test_filters","test_3_filters_image","","","","Images",""
"broken","Sun Nov 13 05:37:43 GMT 2022","Sun Nov 13 05:37:44 GMT 2022","1104","test_function.test_filters","test_5_filters_category","","","","Brand",""
"broken","Sun Nov 13 05:37:23 GMT 2022","Sun Nov 13 05:37:24 GMT 2022","1126","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Sun Nov 13 05:37:38 GMT 2022","Sun Nov 13 05:37:39 GMT 2022","1119","test_function.test_filters","test_4_filters_brand","","","","Brand",""
"broken","Sun Nov 13 05:37:16 GMT 2022","Sun Nov 13 05:37:18 GMT 2022","1148","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Sun Nov 13 05:37:20 GMT 2022","Sun Nov 13 05:37:21 GMT 2022","1114","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Sun Nov 13 05:37:06 GMT 2022","Sun Nov 13 05:37:07 GMT 2022","1103","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Sun Nov 13 05:37:41 GMT 2022","Sun Nov 13 05:37:43 GMT 2022","1114","test_function.test_filters","test_5_filters_category","","","","Brand",""
"broken","Sun Nov 13 05:37:27 GMT 2022","Sun Nov 13 05:37:28 GMT 2022","1130","test_function.test_filters","test_3_filters_image","","","","Images",""
"broken","Sun Nov 13 05:37:07 GMT 2022","Sun Nov 13 05:37:09 GMT 2022","1136","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Sun Nov 13 05:37:13 GMT 2022","Sun Nov 13 05:37:14 GMT 2022","1147","test_function.test_filters","test_2_filters_stock","","","","Stock",""
